address,latitude,longitude
324 Main St,44.9213,-74.89021
530 Clinton Ave,39.53255,-83.44526
408 Market Square Dr,38.62736,-83.79141
6098 State Highway 37,44.95008,-74.84553
139 Columbus Rd,39.35155,-82.09728
4182 Tonya Trl,39.4176,-84.47641
590 S Main St,39.86969,-84.29358
401 N Jennings St,34.00598,-81.7704
205 W Church St,33.91335,-81.5333
2711 W. Kings Highway Ste. 18,36.06107,-90.52325
613 W Center St,34.30687,-92.40784
512 Highway 425 S Lot B,33.61937,-91.80232
1535 NW 50th St,35.52234,-97.5382
125 Towne Center Dr,38.06753,-84.53043
66 14th St.,37.941032,-86.762115
301 University Blvd,38.21999,-85.764824
5812 NW Expressway,35.54815,-97.61717
101 Thomas Garst Ln,34.23389,-77.99544
1111 New Pointe Blvd,34.21188,-78.02454
